AgentID,Tgt_3YN,Age_Grp,Gender,Apply_CH,re_hire_freq_grp,Q2,Q7,Q8,Q18,Q22,Q38,rank_INDEX14,rank_INDEX18,rank_INDEX23,rank_INDEX27,rank_INDEX28,rank_INDEX29,rank_INDEX32,rank_INDEX44,rank_INDEX93,rank_AVG_AMT_6M
88,1,5060G,2,MGM,1,1,1,5,1,2,2,2,2,2,2,3,2,3,3,2,9
89,0,5060G,2,MGM,2,2,1,7,2,5,1,1,2,2,2,2,2,3,2,3,9
90,0,5060G,1,MGM,0,1,1,4,2,3,2,3,0,1,2,2,0,0,0,0,7
91,0,40G,2,MGM,1,3,2,3,3,1,1,2,1,0,0,1,2,0,0,0,7
92,0,5060G,2,MGM,1,1,2,5,2,3,1,1,2,3,2,2,3,3,3,3,7
93,0,5060G,2,MGM,1,3,2,6,2,1,1,1,0,1,2,2,2,2,2,1,2
94,1,40G,2,MGM,1,3,2,3,4,5,2,,,,,,,,,,9
95,0,30G,2,MGM,1,4,3,5,2,1,2,2,3,2,0,0,0,3,3,2,5
96,0,40G,2,MGM,1,3,2,7,2,6,1,3,0,0,0,1,0,0,0,0,3
97,0,40G,2,MGM,3,4,2,5,2,1,2,2,2,1,1,1,2,1,2,2,6
98,0,5060G,2,MGM,4~,3,2,3,2,1,1,1,0,0,0,0,1,0,0,0,0
99,0,5060G,2,MGM,1,3,1,6,1,6,1,2,0,0,0,0,2,0,0,1,2
100,1,40G,2,MGM,1,2,2,2,1,2,2,3,2,0,2,2,3,3,3,0,8
101,0,5060G,2,MGM,1,3,1,6,2,6,2,2,0,0,0,0,0,0,0,0,1
102,0,5060G,2,MGM,3,3,1,3,4,5,1,1,0,2,2,0,2,2,2,3,3
103,0,5060G,2,MGM,3,3,2,3,2,6,1,1,3,3,3,3,1,2,2,3,6
104,0,5060G,2,MGM,1,3,2,7,1,1,2,1,1,1,2,1,2,0,1,2,1
105,0,5060G,2,MGM,1,3,5,4,2,1,1,1,2,3,2,2,2,2,2,2,1
106,0,5060G,2,MGM,3,3,1,4,2,1,2,0,3,2,2,0,3,0,1,3,4
107,0,5060G,2,MGM,1,3,1,7,2,1,2,2,2,1,2,2,3,3,3,1,4
108,0,40G,2,MGM,1,1,5,4,2,1,1,2,3,2,2,2,2,3,3,3,5
109,0,5060G,2,MGM,2,3,1,7,2,1,1,2,0,0,0,0,2,0,0,0,0
110,0,5060G,2,MGM,1,4,2,5,1,1,2,1,1,2,2,1,2,1,1,1,3
111,0,40G,1,MGM,3,3,2,4,2,1,2,3,0,0,0,0,0,0,0,0,8
112,0,5060G,2,MGM,1,1,1,7,1,1,1,1,0,0,0,0,1,0,0,0,2
113,0,5060G,2,MGM,1,4,2,2,1,6,2,2,0,0,0,0,0,0,1,0,6
114,1,5060G,2,MGM,1,4,2,5,2,1,2,2,1,1,1,3,0,0,0,1,6
115,0,5060G,2,MGM,4~,4,2,3,1,3,1,1,3,3,3,2,3,3,3,3,8
116,0,5060G,2,MGM,1,1,1,5,3,1,1,1,0,1,0,1,2,0,0,1,2
117,0,5060G,2,MGM,1,2,2,4,1,6,2,1,1,1,1,1,3,0,1,0,5
118,0,5060G,2,MGM,1,1,1,6,2,5,1,2,2,1,2,1,2,3,3,2,7
119,0,5060G,2,MGM,1,3,5,1,1,6,2,1,2,3,2,1,2,3,3,3,4
120,0,5060G,2,MGM,1,3,3,6,1,6,1,1,1,2,2,2,3,0,0,1,5
121,0,5060G,2,MGM,1,4,2,7,1,6,1,1,1,2,1,0,2,3,2,1,3
122,0,5060G,2,MGM,1,2,2,7,4,1,1,1,3,3,3,3,3,2,2,3,6
123,0,5060G,2,MGM,1,1,2,3,1,4,2,1,2,2,2,2,1,1,1,0,9
124,0,5060G,2,MGM,1,3,2,7,3,6,2,2,0,0,0,0,2,0,0,0,6
125,0,5060G,2,MGM,1,3,2,3,1,6,1,0,1,2,2,2,2,1,1,3,5
126,0,40G,2,MGM,1,3,2,3,4,1,1,1,2,1,1,1,2,3,3,1,5
127,0,5060G,2,MGM,1,2,2,5,1,1,1,2,1,1,1,0,3,0,0,2,7
128,0,5060G,2,Vender,0,2,3,7,4,1,2,1,1,2,2,3,2,3,3,3,5
129,0,5060G,2,MGM,1,2,2,3,1,1,2,2,1,1,0,0,2,1,1,0,4
130,0,40G,2,MGM,1,1,2,5,1,1,2,2,1,0,1,3,1,0,0,0,4
131,0,40G,1,MGM,1,3,1,7,1,5,1,3,0,2,1,1,0,0,1,2,0
132,0,5060G,2,MGM,1,3,2,4,1,1,1,0,3,3,3,3,3,3,3,3,6
133,0,5060G,2,MGM,2,3,3,3,2,3,1,1,1,2,2,3,3,3,3,0,2
134,0,40G,2,MGM,1,1,2,3,2,1,1,2,1,1,1,2,3,2,2,1,5
135,0,5060G,2,MGM,1,3,2,6,2,1,1,2,0,0,1,0,2,0,1,0,9
136,0,5060G,2,MGM,1,4,1,6,1,1,1,1,1,2,2,2,3,2,2,2,8
137,0,5060G,2,MGM,1,4,1,4,3,1,1,1,2,2,3,2,3,2,2,0,6
138,1,5060G,2,MGM,1,2,2,3,1,6,2,0,3,3,3,3,2,3,3,3,8
139,1,5060G,2,MGM,1,1,4,5,1,1,2,1,3,2,3,3,3,2,2,3,3
140,1,5060G,2,MGM,1,1,4,5,1,1,2,1,3,2,3,3,3,2,2,3,2
141,1,40G,2,MGM,1,2,2,5,2,1,2,1,2,2,2,3,0,2,2,2,8
142,0,30G,1,MGM,1,2,2,7,3,1,1,3,0,0,0,0,0,0,0,1,0
143,0,40G,2,MGM,1,3,2,7,1,6,1,3,2,1,1,1,2,3,3,2,0
144,0,5060G,2,MGM,1,1,2,3,1,3,2,0,3,3,3,3,3,3,3,2,8
145,1,40G,1,MGM,1,3,2,4,2,3,1,2,0,2,1,2,0,0,0,0,8
146,1,5060G,2,MGM,1,3,2,5,2,6,2,2,0,0,0,0,1,0,0,0,9
147,0,5060G,2,MGM,1,4,2,4,1,1,2,1,3,2,2,2,3,3,3,2,8
148,0,5060G,2,MGM,1,2,5,5,2,1,2,0,3,3,3,3,2,3,2,3,1
149,0,40G,2,MGM,1,3,2,6,2,5,2,1,2,2,2,2,1,3,3,3,3
150,0,5060G,2,MGM,0,4,2,4,2,3,1,0,3,3,3,3,0,2,2,3,7
151,0,40G,2,MGM,0,1,2,6,1,1,1,2,2,1,2,1,2,2,2,3,7
152,0,40G,1,MGM,0,3,3,6,2,4,1,3,0,0,1,1,0,0,0,1,7
153,0,5060G,2,MGM,0,1,1,4,1,6,2,0,3,3,3,3,2,2,2,3,6
154,0,5060G,2,MGM,0,3,2,3,2,3,1,0,3,3,2,3,3,3,3,1,9
155,0,40G,1,MGM,0,4,1,6,2,6,2,3,0,1,0,0,0,0,0,0,7
156,1,30G,2,MGM,0,3,1,5,1,4,1,1,3,2,1,2,1,3,2,2,8
157,1,40G,2,Vender,0,3,3,5,1,1,2,2,2,1,1,2,1,3,3,2,9
158,0,40G,1,MGM,0,3,2,6,2,1,2,3,0,1,2,3,1,0,1,0,1
159,0,5060G,2,MGM,0,3,2,5,2,1,2,1,2,2,2,2,3,3,2,2,7
160,0,5060G,2,MGM,0,3,1,5,2,6,2,1,2,2,2,3,3,2,2,3,5
161,0,30G,2,MGM,0,3,1,5,1,5,1,0,3,0,0,0,2,3,3,2,7
162,0,40G,1,Vender,0,2,2,7,1,6,1,3,0,0,0,0,0,0,0,0,0
163,0,40G,2,MGM,0,3,1,7,2,1,1,2,1,0,1,2,2,1,1,1,4
164,1,5060G,2,MGM,0,3,2,3,2,5,1,1,1,1,2,3,3,2,2,2,9
165,0,5060G,2,MGM,0,3,2,7,1,5,2,1,2,2,2,2,3,3,3,2,0
166,0,30G,2,MGM,0,2,1,7,1,5,1,3,3,2,0,1,0,3,2,2,0
167,0,30G,1,MGM,0,3,2,6,2,5,1,3,1,1,0,0,0,0,0,3,6
168,0,30G,2,MGM,0,3,2,4,2,5,1,3,3,0,0,1,0,3,3,1,4
169,0,40G,2,MGM,0,3,2,4,2,6,1,2,1,0,1,1,2,0,1,1,6
170,0,5060G,2,MGM,0,4,1,7,2,6,2,0,3,3,2,2,2,3,3,3,8
171,0,5060G,2,MGM,0,3,2,7,2,1,2,1,2,3,2,3,3,0,1,3,4
172,0,40G,2,MGM,0,3,2,7,1,1,2,2,3,2,2,2,2,2,2,3,8
173,0,5060G,2,MGM,0,4,1,5,1,3,1,1,1,2,2,0,3,2,2,0,2
174,0,5060G,2,MGM,0,3,2,5,1,3,1,1,1,0,2,2,3,1,1,1,1
175,0,5060G,2,MGM,0,4,2,4,1,6,2,0,3,3,2,2,2,1,1,3,5
176,0,5060G,2,MGM,0,4,2,5,1,5,1,2,1,1,1,0,2,0,0,1,9
177,0,30G,1,MGM,0,4,2,7,4,1,1,3,0,0,0,0,0,0,0,1,0
178,0,5060G,2,MGM,0,4,3,4,1,1,1,1,3,3,3,2,3,0,1,3,8
179,0,40G,2,MGM,0,3,3,5,1,1,1,2,0,0,0,0,3,0,0,0,6
